Best val acc 0.25, missing rate 0.99, method neighborhood_mean
Best val acc 0.5833333333333334, missing rate 0.0, method neighborhood_mean
Best val acc 0.25, missing rate 0.99, method neighborhood_mean
Best val acc 0.6166666666666667, missing rate 0.0, method neighborhood_mean
Best val acc 0.25, missing rate 0.99, method neighborhood_mean
Best val acc 0.55, missing rate 0.0, method neighborhood_mean
Best val acc 0.3, missing rate 0.99, method neighborhood_mean
Best val acc 0.55, missing rate 0.0, method neighborhood_mean
Best val acc 0.31666666666666665, missing rate 0.99, method neighborhood_mean
Best val acc 0.6166666666666667, missing rate 0.0, method neighborhood_mean
Best val acc 0.31666666666666665, missing rate 0.99, method neighborhood_mean
Best val acc 0.5833333333333334, missing rate 0.0, method neighborhood_mean
Best val acc 0.2833333333333333, missing rate 0.99, method neighborhood_mean
Best val acc 0.6333333333333333, missing rate 0.0, method neighborhood_mean
Best val acc 0.25, missing rate 0.99, method neighborhood_mean
Best val acc 0.6833333333333333, missing rate 0.0, method neighborhood_mean
Best val acc 0.26666666666666666, missing rate 0.99, method neighborhood_mean
Best val acc 0.5666666666666667, missing rate 0.0, method neighborhood_mean
Best val acc 0.26666666666666666, missing rate 0.99, method neighborhood_mean
Best val acc 0.5833333333333334, missing rate 0.0, method neighborhood_mean
Best val acc 0.5, missing rate 0.5, method neighborhood_mean
Best val acc 0.31666666666666665, missing rate 0.9, method neighborhood_mean
Best val acc 0.45, missing rate 0.5, method neighborhood_mean
Best val acc 0.2833333333333333, missing rate 0.9, method neighborhood_mean
Best val acc 0.4, missing rate 0.5, method neighborhood_mean
Best val acc 0.2833333333333333, missing rate 0.9, method neighborhood_mean
Best val acc 0.45, missing rate 0.5, method neighborhood_mean
Best val acc 0.38333333333333336, missing rate 0.9, method neighborhood_mean
Best val acc 0.48333333333333334, missing rate 0.5, method neighborhood_mean
Best val acc 0.3333333333333333, missing rate 0.9, method neighborhood_mean
Best val acc 0.43333333333333335, missing rate 0.5, method neighborhood_mean
Best val acc 0.31666666666666665, missing rate 0.9, method neighborhood_mean
Best val acc 0.43333333333333335, missing rate 0.5, method neighborhood_mean
Best val acc 0.3, missing rate 0.9, method neighborhood_mean
Best val acc 0.5166666666666667, missing rate 0.5, method neighborhood_mean
Best val acc 0.3, missing rate 0.9, method neighborhood_mean
Best val acc 0.45, missing rate 0.5, method neighborhood_mean
Best val acc 0.2833333333333333, missing rate 0.9, method neighborhood_mean
Best val acc 0.45, missing rate 0.5, method neighborhood_mean
Best val acc 0.2833333333333333, missing rate 0.9, method neighborhood_mean
Best val acc 0.4166666666666667, missing rate 0.5, method feature_propagation
Best val acc 0.48333333333333334, missing rate 0.5, method feature_propagation
Best val acc 0.55, missing rate 0.5, method feature_propagation
Best val acc 0.3333333333333333, missing rate 0.9, method feature_propagation
Best val acc 0.5166666666666667, missing rate 0.5, method feature_propagation
Best val acc 0.35, missing rate 0.9, method feature_propagation
Best val acc 0.5, missing rate 0.5, method feature_propagation
Best val acc 0.2833333333333333, missing rate 0.9, method feature_propagation
Best val acc 0.5, missing rate 0.5, method feature_propagation
Best val acc 0.3, missing rate 0.9, method feature_propagation
Best val acc 0.4166666666666667, missing rate 0.5, method feature_propagation
Best val acc 0.25, missing rate 0.9, method feature_propagation
Best val acc 0.38333333333333336, missing rate 0.5, method feature_propagation
Best val acc 0.3, missing rate 0.9, method feature_propagation
Best val acc 0.4, missing rate 0.5, method feature_propagation
Best val acc 0.36666666666666664, missing rate 0.9, method feature_propagation
Best val acc 0.5, missing rate 0.5, method feature_propagation
Best val acc 0.4166666666666667, missing rate 0.9, method feature_propagation
Best val acc 0.5833333333333334, missing rate 0.5, method feature_propagation
Best val acc 0.3, missing rate 0.9, method feature_propagation
Best val acc 0.35, missing rate 0.5, method feature_propagation
Best val acc 0.4, missing rate 0.9, method feature_propagation
Best val acc 0.31666666666666665, missing rate 0.99, method feature_propagation
Best val acc 0.26666666666666666, missing rate 0.99, method feature_propagation
Best val acc 0.3333333333333333, missing rate 0.99, method feature_propagation
Best val acc 0.38333333333333336, missing rate 0.99, method feature_propagation
Best val acc 0.3333333333333333, missing rate 0.99, method feature_propagation
Best val acc 0.26666666666666666, missing rate 0.99, method feature_propagation
Best val acc 0.38333333333333336, missing rate 0.99, method feature_propagation
Best val acc 0.3, missing rate 0.99, method feature_propagation
Best val acc 0.3, missing rate 0.99, method feature_propagation
Best val acc 0.3, missing rate 0.99, method feature_propagation


======================
Best val acc 0.75, missing rate 0.99, method feature_propagation
Best val acc 0.7586206896551724, missing rate 0.9, method feature_propagation
Best val acc 0.7844827586206896, missing rate 0.5, method feature_propagation
Best val acc 0.7758620689655172, missing rate 0.99, method feature_propagation
Best val acc 0.7586206896551724, missing rate 0.9, method feature_propagation
Best val acc 0.7758620689655172, missing rate 0.5, method feature_propagation
Best val acc 0.7586206896551724, missing rate 0.99, method feature_propagation
Best val acc 0.7155172413793104, missing rate 0.9, method feature_propagation
Best val acc 0.8189655172413793, missing rate 0.5, method feature_propagation
Best val acc 0.75, missing rate 0.99, method feature_propagation
Best val acc 0.7844827586206896, missing rate 0.9, method feature_propagation
Best val acc 0.8103448275862069, missing rate 0.5, method feature_propagation
Best val acc 0.7672413793103449, missing rate 0.99, method feature_propagation
Best val acc 0.8103448275862069, missing rate 0.9, method feature_propagation
Best val acc 0.7931034482758621, missing rate 0.5, method feature_propagation
Best val acc 0.7586206896551724, missing rate 0.99, method feature_propagation
Best val acc 0.853448275862069, missing rate 0.9, method feature_propagation
Best val acc 0.7931034482758621, missing rate 0.5, method feature_propagation
Best val acc 0.7068965517241379, missing rate 0.99, method feature_propagation
Best val acc 0.7327586206896551, missing rate 0.9, method feature_propagation
Best val acc 0.8448275862068966, missing rate 0.5, method feature_propagation
Best val acc 0.8017241379310345, missing rate 0.99, method feature_propagation
Best val acc 0.7931034482758621, missing rate 0.9, method feature_propagation
Best val acc 0.8017241379310345, missing rate 0.5, method feature_propagation
Best val acc 0.7758620689655172, missing rate 0.99, method feature_propagation
Best val acc 0.7758620689655172, missing rate 0.9, method feature_propagation
Best val acc 0.7672413793103449, missing rate 0.5, method feature_propagation
Best val acc 0.7155172413793104, missing rate 0.99, method feature_propagation
Best val acc 0.7672413793103449, missing rate 0.9, method feature_propagation
Best val acc 0.7672413793103449, missing rate 0.5, method feature_propagation
Best val acc 0.7758620689655172, missing rate 0.5, method neighborhood_mean
Best val acc 0.8275862068965517, missing rate 0.0, method feature_propagation
Best val acc 0.8189655172413793, missing rate 0.99, method neighborhood_mean
Best val acc 0.7931034482758621, missing rate 0.99, method neighborhood_mean
Best val acc 0.8103448275862069, missing rate 0.5, method neighborhood_mean
Best val acc 0.8448275862068966, missing rate 0.0, method feature_propagation
Best val acc 0.8017241379310345, missing rate 0.5, method neighborhood_mean
Best val acc 0.7931034482758621, missing rate 0.99, method neighborhood_mean
Best val acc 0.8275862068965517, missing rate 0.0, method feature_propagation
Best val acc 0.8362068965517241, missing rate 0.5, method neighborhood_mean
Best val acc 0.6982758620689655, missing rate 0.99, method neighborhood_mean
Best val acc 0.8189655172413793, missing rate 0.0, method feature_propagation
Best val acc 0.8620689655172413, missing rate 0.99, method neighborhood_mean
Best val acc 0.7672413793103449, missing rate 0.5, method neighborhood_mean
Best val acc 0.853448275862069, missing rate 0.0, method feature_propagation
Best val acc 0.7672413793103449, missing rate 0.99, method neighborhood_mean
Best val acc 0.8275862068965517, missing rate 0.5, method neighborhood_mean
Best val acc 0.8620689655172413, missing rate 0.0, method feature_propagation
Best val acc 0.8017241379310345, missing rate 0.99, method neighborhood_mean
Best val acc 0.7931034482758621, missing rate 0.5, method neighborhood_mean
Best val acc 0.8448275862068966, missing rate 0.0, method feature_propagation
Best val acc 0.7327586206896551, missing rate 0.99, method neighborhood_mean
Best val acc 0.8189655172413793, missing rate 0.5, method neighborhood_mean
Best val acc 0.7931034482758621, missing rate 0.0, method feature_propagation
Best val acc 0.75, missing rate 0.99, method neighborhood_mean
Best val acc 0.7155172413793104, missing rate 0.5, method neighborhood_mean
Best val acc 0.8448275862068966, missing rate 0.0, method feature_propagation
Best val acc 0.7413793103448276, missing rate 0.99, method neighborhood_mean
Best val acc 0.8620689655172413, missing rate 0.5, method neighborhood_mean
Best val acc 0.8362068965517241, missing rate 0.0, method feature_propagation
